application_id,name,description,capability_id,sourcing,vendor_id,lifecycle_stage,hosting,business_criticality,technical_fitness,internal_ftes,users,contract_end_date,data_classification,business_owner,notes
nw-001,Order Capture System,In-house order entry and validation built in 2009 and extended continuously since,cap-02-01,build,,production,on_premise,critical,2,4.0,310,,confidential,Director of Operations,"Everything integrates with it; two of the four engineers who understand it have left"
nw-002,Customer Order Portal,Customer-facing ordering and order tracking built in 2014,cap-01-02,build,,sunset,on_premise,high,2,1.5,2650,,confidential,Commercial Director,"Framework is out of support; mobile experience is the top customer complaint"
nw-003,Pricing Engine,Customer-specific price lists promotion rules and margin guards,cap-02-02,build,,production,private_cloud,critical,4,2.6,85,,confidential,Head of Trading,"Genuinely differentiating; rewritten in 2018 and well regarded internally"
nw-004,Demand Forecasting Tool,Statistical forecasting for short-shelf-life ranges,cap-03-01,build,,production,on_premise,high,2,1.2,24,,internal,Supply Chain Director,"Grew out of a spreadsheet; forecasting logic is not documented anywhere else"
nw-005,Supplier Portal,Supplier onboarding purchase orders and performance scorecards,cap-03-02,saas,vendor_bravo,production,public_cloud,medium,4,0.3,,2029-01-31,internal,Supply Chain Director,
nw-006,Warehouse Management System,Receiving putaway picking dispatch and stock control across four sites,cap-04-01,buy,vendor_alpha,production,on_premise,critical,3,2.5,640,2027-06-30,internal,Director of Operations,"On-premise deployment two major versions behind current"
nw-007,Route Planning System,Delivery route optimisation against time windows and vehicle constraints,cap-04-02,buy,vendor_charlie,production,on_premise,high,2,0.9,45,2026-12-31,internal,Head of Logistics,"Does not model temperature constraints; planners override roughly a third of routes by hand"
nw-008,Cold Chain Monitoring,Temperature telemetry from vehicles and cold storage with compliance evidence,cap-04-03,saas,vendor_delta,production,public_cloud,critical,4,0.4,120,2028-04-30,regulated,Quality Manager,
nw-009,Workforce Scheduling Tool,Shift rostering for warehouse operatives and drivers,cap-04-04,build,,sunset,on_premise,medium,1,0.6,95,,confidential,Head of Logistics,"Built in 2011 by a manager who has since left; runs on an unsupported desktop database"
nw-010,Financial Accounting System,General ledger accounts payable period close and statutory reporting,cap-05-01,buy,vendor_echo,production,on_premise,critical,3,3.4,180,2028-03-31,confidential,Finance Director,
nw-011,Billing and Receivables,Invoicing credit control and collections for trade accounts,cap-05-02,buy,vendor_echo,production,on_premise,critical,3,1.4,60,2028-03-31,confidential,Finance Director,"Same supplier as nw-010 but a separately licensed module"
nw-012,HR Administration System,Employee records absence recruitment and onboarding,cap-06-01,saas,vendor_foxtrot,production,public_cloud,medium,4,0.4,1800,2027-09-30,regulated,People Director,
nw-013,Payroll Service,Outsourced payroll bureau running monthly and weekly payrolls,cap-06-02,partner,vendor_golf,production,vendor_hosted,critical,3,0.5,,2027-03-31,regulated,People Director,"Bureau fee sits in support cost; no licence line"
nw-014,Product Information System,Product data allergen information and imagery for all channels,cap-07-01,build,,production,private_cloud,high,3,1.7,140,,internal,Head of Category,"Built 2019; the one recent in-house build that went well"
nw-015,Customer Master,Trade account master data credit terms and hierarchy,cap-01-03,build,,production,on_premise,critical,1,2.0,,,confidential,,"Built 2007; eleven integrations depend on it and nobody will touch it"
nw-016,Collaboration Suite,Email documents meetings and shared working,cap-08-01,saas,vendor_hotel,production,public_cloud,high,5,0.8,1800,2027-12-31,internal,Technology Director,
nw-017,Service Desk Tool,Incident and request management for technology,cap-08-02,saas,vendor_india,production,public_cloud,medium,4,0.4,1800,2027-06-30,internal,Technology Director,
nw-018,Reporting Platform,Enterprise reporting and self-service analytics,cap-08-04,buy,vendor_juliet,production,private_cloud,high,3,1.5,220,2027-10-31,confidential,Finance Director,
nw-019,Integration Middleware,Message broker and file transfer between applications,cap-08-03,buy,vendor_kilo,production,on_premise,critical,2,2.1,12,2026-09-30,confidential,,"Version is in extended support; renewal decision due before contract end"
nw-020,Field Sales Application,Mobile ordering and account management for the field sales team,cap-01-02,saas,vendor_lima,production,public_cloud,high,4,0.5,140,2028-08-31,confidential,Commercial Director,
